X-coordinate,Y-coordinate,Z-coordinate,Advanced,Counts
49.23015,52.002483,-150,0,0
48.23015,52.002483,-150,0,0
47.23015,52.002483,-150,0,0
46.23015,52.002483,-150,0,0
45.23015,52.002483,-150,0,0
44.23015,52.002483,-150,0,0
43.23015,52.002483,-150,0,0
42.23015,52.002483,-150,0,0
41.23015,52.002483,-150,0,0
40.23015,52.002483,-150,0,0
39.23015,52.002483,-150,0,0
38.23015,52.002483,-150,0,0
37.23015,52.002483,-150,0,0
36.23015,52.002483,-150,0,0
35.23015,52.002483,-150,0,0
34.23015,52.002483,-150,0,0
33.23015,52.002483,-150,0,0
32.23015,52.002483,-150,0,0
31.230148,52.002483,-150,0,0
30.230148,52.002483,-150,0,0
29.230148,52.002483,-150,0,0
28.230148,52.002483,-150,0,0
27.230148,52.002483,-150,0,0
26.230148,52.002483,-150,0,0
25.230148,52.002483,-150,0,0
24.230148,52.002483,-150,0,0
23.230148,52.002483,-150,0,0
22.230148,52.002483,-150,0,0
21.230148,52.002483,-150,0,0
20.230148,52.002483,-150,0,0
19.230148,52.002483,-150,0,0
18.230148,52.002483,-150,0,0
17.230148,52.002483,-150,0,0
16.230148,52.002483,-150,0,0
15.230148,52.002483,-150,0,0
14.230148,52.002483,-150,0,0
13.230148,52.002483,-150,0,0
12.230148,52.002483,-150,0,0
11.230148,52.002483,-150,0,0
10.230148,52.002483,-150,0,0
9.230148,52.002483,-150,0,0
8.230148,52.002483,-150,0,0
7.2301483,52.002483,-150,0,0
6.2301483,52.002483,-150,0,0
5.2301483,52.002483,-150,0,0
4.2301483,52.002483,-150,0,0
3.2301483,52.002483,-150,0,0
2.2301483,52.002483,-150,0,0
1.2301483,52.002483,-150,0,0
0.23014832,52.002483,-150,0,0
-0.7698517,52.002483,-150,0,0
-1.7698517,52.002483,-150,0,0
-2.7698517,52.002483,-150,0,0
-3.7698517,52.002483,-150,0,0
-4.7698517,52.002483,-150,0,0
-5.7698517,52.002483,-150,0,0
-6.7698517,52.002483,-150,0,0
-7.7698517,52.002483,-150,0,0
-8.769852,52.002483,-150,0,0
-9.769852,52.002483,-150,0,0
-10.769852,52.002483,-150,0,0
